alliance		聯盟
alliance_battle_info	聯盟戰信息
alliance_battle_item	聯盟戰鬥項目
alliance_fight_unit	同盟戰鬥隊
alliance_fight_versus	聯盟對抗
arena			競技場
arena_report		競技場報告
arena_snapshot		競技場快照
avatar			頭像
badge			徽章
camp			營
campwar			營地
campwar_auto		露營汽車
chat_msg		聊天消息
chat_record		聊天記錄
chat_skin		聊天皮膚
cross_battle		跨戰
cross_player		交叉球員
crystal_shop		水晶店
daily_statistics	每日統計
dailyquest		日常任務
eighteenprinces		十八王子
eighteenprinces_help_history	十八王子幫助歷史
element			元件
email			電子郵件
equip			裝備
expedition_armory	遠征軍械庫
forging_equip		鍛造設備
formation		編隊
friend			朋友
gm_recharge		通用汽車充值
goldfish_reward		金魚獎賞
gvg_alliance		gvg聯盟
gvg_city		Gvg市
gvg_city_reward		gvg城市獎勵
gvg_history_rank	gvg歷史排名
gvg_log			gvg日誌
gvg_revive_log		gvg恢復日誌
gvg_revive_point	gvg復興點
gvg_reward		gvg獎勵
gvg_time		平均時間
harem_activity		后宮活動
hero_token_task		英雄令牌任務
honor_shop		榮譽商店
ip_addr			IP地址
item			項目
login			登錄
maiden_encounter_activity	處女遭遇活動
map			地圖
map_statistics		地圖統計
mercenaryexpedition	僱傭軍遠征
mission			任務
msg			味精
multi_elite_info	多精英信息
multi_elite_report	多精英報告
player			播放器
player_activity		玩家活動
player_alliance		玩家聯盟
player_archive		玩家檔案
player_facebook_share	玩家facebook分享
player_prince_devils	玩家王子魔鬼
player_snapshot		玩家快照
player_star_soul	玩家明星靈魂
player_talent		球員才華
player_wing		球員側翼
player_world_boss	玩家世界老闆
profrank		褻瀆
quest			尋求
recharge		充值
recharge_dailycollet	每天充電
role			角色
role_ring		角色環
server_timelimit	服務器時限
serverdata		服務器數據
sevendayquest		七日任務
shoot_activity		拍攝活動
shop			店
skill			技能
status			狀態
team			球隊
team_battle_cache	團隊戰鬥緩存
team_battle_report	團隊戰鬥報告
title			標題
ur_rank_activity	上級活動
ur_rank_history		排名歷史
vitality_rank		生命力等級
wealth_club		財富俱樂部
world_boss		世界老闆
worship			崇拜
